number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
35,0.42126553247868664,2026-01-15 04:03:34.050226,2026-01-15 04:03:35.827945,0 days 00:00:01.777719,0.967695146220267,0.11248069846739975,9,12,280,87,6.282919894861967e-05,0.03766111936543317,0.9261996396585621,COMPLETE
36,0.4978312608065906,2026-01-15 04:03:35.829240,2026-01-15 04:03:37.145315,0 days 00:00:01.316075,0.9373773435828661,0.19448926717940862,6,21,238,49,0.466205948779653,0.1594093341629569,0.9576534327185642,COMPLETE
37,0.41436904281813486,2026-01-15 04:03:37.146649,2026-01-15 04:03:38.328054,0 days 00:00:01.181405,0.8637331312614884,0.06068341196119961,8,14,206,77,0.13290528734453516,0.0002581262020429094,0.9945562189439144,COMPLETE
38,0.6110307640777619,2026-01-15 04:03:38.329429,2026-01-15 04:03:39.815403,0 days 00:00:01.485974,0.9630092018874048,0.06778626379473789,7,11,216,96,0.000130241011280471,0.5761831409642941,0.7800769650931572,COMPLETE
39,0.2256500241574017,2026-01-15 04:03:39.816710,2026-01-15 04:03:41.146400,0 days 00:00:01.329690,0.9597961245155484,0.06822872867684926,7,11,182,95,3.159649397033669e-05,0.6453657769826238,0.7685941473802415,COMPLETE
40,0.42131287681191576,2026-01-15 04:03:41.147731,2026-01-15 04:03:42.311750,0 days 00:00:01.164019,0.9848981172819682,0.055284466858944795,7,13,214,105,0.00010661414271245417,1.0168339991068409e-05,0.7335807100970997,COMPLETE
41,0.4839084392346324,2026-01-15 04:03:42.313099,2026-01-15 04:03:43.634470,0 days 00:00:01.321371,0.9429758209413034,0.07732297533343299,6,10,238,90,3.4819444202478795e-05,0.4448299545187014,0.7798268457872516,COMPLETE
42,0.5562483835386046,2026-01-15 04:03:43.635894,2026-01-15 04:03:45.237763,0 days 00:00:01.601869,0.9692653568118023,0.07297105553356634,8,16,221,97,1.1845123871253327e-05,0.2528735601055838,0.8379068213038867,COMPLETE
43,0.531192600006647,2026-01-15 04:03:45.239065,2026-01-15 04:03:46.654955,0 days 00:00:01.415890,0.9158809084737329,0.10251147056099129,7,12,203,66,0.0002468219750508903,0.9611267112578129,0.7985243928248861,COMPLETE
44,0.561356012187747,2026-01-15 04:03:46.656244,2026-01-15 04:03:48.149241,0 days 00:00:01.492997,0.9622416347383065,0.08484381424086393,7,11,254,32,5.749195786830027e-05,0.08457610891667056,0.863473570713931,COMPLETE
45,0.5587452316856812,2026-01-15 04:03:48.150617,2026-01-15 04:03:50.009339,0 days 00:00:01.858722,0.9889141866418432,0.0588928524239724,8,14,242,82,2.0472583089400317e-05,0.4538316750290643,0.9825573411122336,COMPLETE
46,0.4852029328273512,2026-01-15 04:03:50.010690,2026-01-15 04:03:51.288005,0 days 00:00:01.277315,0.9518144127692647,0.06911477692941041,6,24,228,121,0.0018678930168068086,0.13985117999688465,0.8216034366840286,COMPLETE
47,0.6203976022424225,2026-01-15 04:03:51.289303,2026-01-15 04:03:52.929478,0 days 00:00:01.640175,0.9259309067558265,0.05253320669431639,9,21,214,92,0.03206092805465381,0.06291129700818095,0.7828100617209096,COMPLETE
48,0.5291848418609862,2026-01-15 04:03:52.930979,2026-01-15 04:03:54.267241,0 days 00:00:01.336262,0.8453395208882777,0.05295583088112136,7,21,213,104,0.005583892455781641,0.0495474490878952,0.7815720326993597,COMPLETE
49,0.3788056409012601,2026-01-15 04:03:54.268616,2026-01-15 04:03:55.303472,0 days 00:00:01.034856,0.8917121823569623,0.0578815501820985,5,26,191,91,0.02349367179847827,0.001387763537473147,0.7453660619025745,COMPLETE
